Barcode;ItemDescription;Category;Brand;ColorDescription;Size;ImageUrl
197627679358;HEART CHARMER - GİRLY LAND;Ayakkabı;Skechers;Pembe/Çoklu;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/308406N-HPMT/308406N-HPMT-182-0.jpg
199025467537;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
197627679273;HEART CHARMER - GİRLY LAND;Ayakkabı;Skechers;Pembe/Çoklu;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/308406L-HPMT/01_1.jpg
197627679280;HEART CHARMER - GİRLY LAND;Ayakkabı;Skechers;Pembe/Çoklu;4;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/308406L-HPMT/01_1.jpg
199025467544;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;13.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
198376498689;RAINBOW CRUISERS - RAINBOW REFLECTIN;Ayakkabı;Skechers;Pembe/Çoklu;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-hpmt/1.jpg
199025467520;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
198376923143;HEART LIGHTS BOOGIE LAND;Ayakkabı;Skechers;Pembe/Çoklu;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303258n-hpmt/01_1.jpg
198739957983;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
198376498771;RAINBOW CRUISERS - RAINBOW REFLECTIN;Ayakkabı;Skechers;Pembe/Çoklu;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-hpmt/1.jpg
198739957952;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;13;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
199025467551;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;1.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
197976324114;TWI-LITES 2.0 - DREAMY WINGS;Ayakkabı;Skechers;Pembe/Çoklu;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314392l-hpmt/01_1.jpg
197976584372;TWİNKLE MAGİC;Ayakkabı;Skechers;Pembe/Çoklu;7.5       ;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314325N-HPMT/01.jpg
197627679266;HEART CHARMER - GİRLY LAND;Ayakkabı;Skechers;Pembe/Çoklu;2;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/308406L-HPMT/01_1.jpg
197976324121;TWI-LITES 2.0 - DREAMY WINGS;Ayakkabı;Skechers;Pembe/Çoklu;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314392l-hpmt/01_1.jpg
199025467513;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
197976565661;TWİNKLE MAGİC;Ayakkabı;Skechers;Pembe/Çoklu;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314325N-HPMT/01.jpg
198739957969;ETERNAL HEART LIGHTS;Ayakkabı;Skechers;Pembe/Çoklu;1;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303262l-hpmt/01_2.jpg
198376498740;RAINBOW CRUISERS - RAINBOW REFLECTIN;Ayakkabı;Skechers;Pembe/Çoklu;1.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303722l-hpmt/1.jpg
197976324015;TWI-LITES 2.0 - DREAMY WINGS;Ayakkabı;Skechers;Pembe/Çoklu;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/314392l-hpmt/01_1.jpg
194428574066;SİDE WAVE  - ;Ayakkabı;Skechers;Pembe/Turkuaz;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/194428574080/01.JPG
194428574073;SİDE WAVE  - ;Ayakkabı;Skechers;Pembe/Turkuaz;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/194428574080/01.JPG
194428574080;SİDE WAVE  - ;Ayakkabı;Skechers;Pembe/Turkuaz;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/194428574080/01.JPG
197976681828;GO WALK DİSTANCE WALKER - İNTERMİNABLE;Ayakkabı;Skechers;Haki;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/216533-KHK/01.jpg
8683030030814;SUMMİTS;Ayakkabı;Skechers;Haki;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/52811TK-KHK/01.jpg
197976681835;GO WALK DİSTANCE WALKER - İNTERMİNABLE;Ayakkabı;Skechers;Haki;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/216533-KHK/01.jpg
197976681804;GO WALK DİSTANCE WALKER - İNTERMİNABLE;Ayakkabı;Skechers;Haki;7.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/216533-KHK/01.jpg
197976681866;GO WALK DİSTANCE WALKER - İNTERMİNABLE;Ayakkabı;Skechers;Haki;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/216533-KHK/01.jpg
197976054974;BOUNDER-SİMPLE CUTE;Ayakkabı;Skechers;lavanta;4;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303585l-lav/01.jpg
195204888537;D'LİTES - COOL CHANGE;Ayakkabı;Skechers;lavanta;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/13143-LAV/01.jpg
8683030015187;DYNAMİGHT 2.0 - EYE TO EYE;Ayakkabı;Skechers;lavanta;6.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/12964TK-LAV/01.jpg
195204888551;D'LİTES - COOL CHANGE;Ayakkabı;Skechers;lavanta;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/13143-LAV/01.jpg
8683030015170;DYNAMİGHT 2.0 - EYE TO EYE;Ayakkabı;Skechers;lavanta;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/12964TK-LAV/01.jpg
197627715841;ARCH FİT VİSTA  -  GLEAMİNG;Ayakkabı;Skechers;lavanta;6.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/104377-LAV/01.jpg
198739149678;SKECHLITE PRO;Ayakkabı;Skechers;lavanta;1;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303934l-lav/01.jpg
195204888513;D'LİTES - COOL CHANGE;Ayakkabı;Skechers;lavanta;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/13143-LAV/01.jpg
195204888520;D'LİTES - COOL CHANGE;Ayakkabı;Skechers;lavanta;6.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/13143-LAV/01.jpg
198739149623;SKECHLITE PRO;Ayakkabı;Skechers;lavanta;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303934l-lav/01.jpg
195204888544;D'LİTES - COOL CHANGE;Ayakkabı;Skechers;lavanta;7.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/13143-LAV/01.jpg
195204888599;D'LİTES - COOL CHANGE;Ayakkabı;Skechers;lavanta;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/13143-LAV/01.jpg
197627715858;ARCH FİT VİSTA  -  GLEAMİNG;Ayakkabı;Skechers;lavanta;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/104377-LAV/01.jpg
197976054943;BOUNDER-SİMPLE CUTE;Ayakkabı;Skechers;lavanta;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303585l-lav/01.jpg
197627715889;ARCH FİT VİSTA  -  GLEAMİNG;Ayakkabı;Skechers;lavanta;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/104377-LAV/01.jpg
197627715834;ARCH FİT VİSTA  -  GLEAMİNG;Ayakkabı;Skechers;lavanta;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/104377-LAV/01.jpg
197627912684;SOLA GLOW SANDAL;Ayakkabı;Skechers;Açık Mavi/ Lavanta;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303024l-lblv/01_1.jpg
